Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
159216.0,1.69557386,-0.840929297,-0.383003922,0.328123672,-0.899415521,-0.459671739,-0.466068872,-0.032459658,0.721526035,0.15220016,1.065826604,1.217106676,0.574169836,0.058334417,0.132843103,0.696220636,-0.880089611,0.491629716,-0.171361486,0.134596579,0.324349096,0.753596138,0.06463381,0.150644972,-0.428373067,0.610178707,-0.06219649,-0.032596217,145.0,0
82473.0,-0.827418606,1.092131711,-0.242365378,-1.314468692,2.39038832,3.315460251,0.081392908,0.959518127,-0.137418562,0.369401141,-0.134476782,-0.224389097,-0.053256926,0.1503411,1.072427095,0.48522234,-0.908916867,0.065710863,0.327494231,0.474353663,-0.342330835,-0.948918748,-0.032400267,0.975594686,0.068612663,0.095605766,0.474451221,0.247411034,2.58,0
31856.0,1.101420684,-1.398811094,1.709080404,-0.161727635,-1.984200888,0.909328011,-1.753633421,0.553147903,0.696619753,0.326490049,0.6716733,0.448849503,-0.922314769,-1.133536373,-2.220777793,0.244111204,1.203496079,-1.409340774,0.986478496,0.04851869,0.20432401,0.86498785,-0.08843188,0.281665368,0.334734749,-0.04836955,0.08961989,0.022143485,55.0,0
80691.0,1.177490865,0.327182415,0.502726872,0.767172532,-0.438078833,-0.906197389,0.022919044,-0.102212783,-0.016016495,-0.328794438,0.639964124,0.525274113,0.168849503,-0.238634906,1.30076182,0.02834791,0.463065628,-0.928549623,-0.757168865,-0.127971287,-0.224938915,-0.612601767,0.224682331,0.567771996,0.074568554,0.09106501,-0.005357794,0.032765069,0.89,0
71621.0,-0.687119005,1.179273424,1.447196522,-0.073237915,-0.085230245,-0.903878433,0.739446204,-0.086059713,-0.260663998,-0.017754112,-0.311829284,0.165511972,0.425682753,-0.006313206,0.826379845,0.166904301,-0.427721008,-0.414626498,-0.015986752,0.241707519,-0.258238796,-0.588032201,-0.016759663,0.369703691,-0.128681296,0.075675673,0.388373942,0.175467379,16.99,0
158064.0,-0.030727606,0.87692861,-0.859382626,-0.062775736,0.51404463,-1.322246879,1.08011992,-0.432497307,0.30617085,-0.482532126,-0.52377917,-0.348308142,-0.116448035,-1.004376434,0.764250407,0.071286899,0.336916405,0.677530937,-0.189737276,-0.257430504,0.206011154,1.003450281,0.003212854,-0.095378021,-0.293453872,-0.218245212,-0.589215795,-0.546631407,42.81,0
100472.0,1.913740691,-1.245930498,-0.120359718,-0.796299935,-1.192593638,0.030950776,-1.34763306,0.040648771,1.118536081,0.500410934,2.107408338,-2.182489035,2.348959572,1.068873011,-0.413999348,1.890580676,0.25619056,-0.163603605,0.251241886,0.220552786,0.22460443,0.581252451,0.235898103,0.715989043,-0.558912695,-0.390018734,-0.023683444,-0.024649884,114.89,0
67102.0,1.035429509,-0.388730587,1.094903603,0.628083803,-0.988388387,-0.081220628,-0.602130355,0.016524928,0.598636752,-0.177495653,-0.676403138,0.581504811,1.46895737,-0.442735111,1.526806187,0.952832835,-0.935104541,0.47249166,-0.470196316,0.218008241,0.263858225,0.646467534,-0.19721931,-0.032484184,0.276493522,0.488026927,0.009223275,0.047184667,107.07,0
128346.0,-0.669827229,0.274778898,-0.010901745,-2.062776867,0.696323764,-0.168711682,0.259522554,0.055014336,-1.875437203,0.36556526,0.463384772,0.063316491,1.346570771,-0.035981688,-0.557165484,1.086776922,-0.280431719,-0.490552157,1.278940789,0.205877837,0.52643109,1.417662862,-0.547695131,0.196053635,0.328855342,0.068645649,-0.311724355,-0.209487069,15.0,0
14281.0,1.067785942,0.626308614,0.300190449,2.761139928,0.211587347,-0.503399752,0.434211043,-0.228258884,0.277801744,0.313716836,0.837938697,-2.713633537,1.007488504,2.11850495,-0.238699699,-0.056085029,0.683711061,-0.707799288,-1.583916277,-0.181458928,-0.091856469,-0.145325292,-0.060986735,0.338816723,0.554250291,0.035431249,-0.062648788,0.011351514,53.89,0
81129.0,-1.934698525,1.386049678,0.930862304,0.751311886,0.618981724,0.383424062,0.49853562,-0.116795103,0.094388198,1.064236855,-1.063432374,-0.67445882,-0.178983915,-0.034684563,1.829476323,-0.42011943,-0.181277862,0.046814592,0.713504413,0.040338148,0.061309799,0.256823308,-0.459673016,-0.881173938,0.553156786,-0.075875028,-0.586157095,0.493122501,19.0,0
51334.0,0.225295759,-2.585392469,-0.465860276,-0.11047291,-1.353274768,0.087873164,0.236669404,-0.244238872,-0.468714625,0.21734772,-1.66551302,-0.002399349,0.795887805,-0.274297966,-0.109355804,-1.286758177,-0.027038858,0.897030433,-0.158939714,0.829940888,-0.370778069,-1.843334261,-0.489464467,-0.56279393,0.000159846,0.818446322,-0.156283936,0.111168359,632.42,0
125297.0,-0.750153368,-1.132850157,-1.269400224,-1.903984484,-0.639243835,-0.867451144,3.410513862,-1.016476826,-1.677743857,-0.327875363,-1.006147948,-0.763811923,-0.1067257,0.524527424,-0.08890283,-2.826651789,0.327379807,0.969449425,0.023780779,0.741124919,0.242466922,0.570329678,0.716641421,-0.048322191,0.521777122,1.07745953,-0.307598592,-0.071223158,530.25,0
110402.0,2.028403871,-0.207051924,-0.450546906,0.38294205,-0.300394698,-0.316696554,-0.575911331,-0.099848827,2.702000681,-0.597477969,-0.400140589,-2.376322659,1.539797493,1.534249489,0.460246437,0.352467044,-0.104686056,0.463092036,-0.158344245,-0.279109131,-0.308600586,-0.520606886,0.2832903,-0.842621074,-0.324829403,-0.915894391,0.031642066,-0.040432671,7.96,0
133415.0,2.002447208,-0.335734657,-0.671359491,0.034306181,-0.087853836,0.295021518,-0.621844294,0.177191893,0.959787951,0.03616825,0.400872738,0.927724212,0.244793449,0.171681942,0.369796385,0.749750675,-1.171873117,0.654921584,0.344063745,-0.156185661,-0.123569114,-0.312405794,0.311985366,0.045479656,-0.369097336,-0.621145379,0.024468171,-0.039342896,6.51,0
145795.0,1.90830505,-0.678201635,-2.909992059,-0.685314771,0.383423608,-1.818591497,1.028627576,-0.625010307,0.677808882,-0.221713256,-1.28791505,-0.855712008,-2.073674412,1.249116408,0.364500762,-0.917348671,0.089009789,-0.426058404,0.586579438,-0.023988503,0.307413418,0.678695399,-0.338726108,-0.325637489,0.545906709,1.089701586,-0.188084928,-0.082635476,160.0,0
73662.0,-1.020726512,1.040577352,2.06007299,0.269964009,0.583342046,-0.061642969,1.341704954,-1.150442059,0.327328267,1.454859948,0.614715691,0.294338437,1.302473186,-1.138231742,1.783415222,-0.89991374,-0.27636568,-1.035759273,0.663740056,0.348590846,-0.354867553,-0.372962085,-0.282681602,0.109722864,-0.092773114,0.119976033,-1.361915354,-0.754344832,30.99,0
37695.0,1.375600601,-1.262703623,0.779737312,-1.524165394,-1.478846346,0.435200582,-1.567467795,0.326393007,-1.750538339,1.531018952,1.510128263,-0.43809229,-0.281366164,-0.097089722,0.726200903,-0.510558229,0.7287791,-0.014320951,-0.870426026,-0.428921329,0.036324053,0.52735076,0.059792331,-0.315491758,0.138905545,-0.058382507,0.077265881,0.007963178,8.1,0
155373.0,-0.64946933,0.399567323,-0.133479529,-0.651488323,1.20935875,-0.779011488,0.953988393,-0.282287131,-0.001677263,-0.201964498,-1.312659615,0.586209185,1.449714378,-0.272355253,-0.380500423,0.0167905,-0.734849883,-0.746350011,0.179575025,-0.083702543,-0.309051187,-0.539514032,0.441819105,-0.75662309,-0.258058046,0.180285886,0.017135674,0.137722065,4.99,0
60160.0,-0.712404246,0.31776085,1.855939031,0.279283646,-0.528058453,0.252376757,0.798666357,0.094877674,0.162243062,-0.865899017,-1.399698449,-0.011811453,0.328325916,-0.458197475,-0.128494503,0.615029149,-0.916722922,0.489662386,-0.94133012,0.184286949,0.304227795,0.736337308,0.103082103,-0.123340751,-0.117244477,-0.444631393,0.13373817,0.172247778,160.0,0
